City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Le Grand,800,700,100,7.4%
Livingston,"6,900","6,600",300,4.5%
Los Banos,"16,600","15,300","1,200",7.5%
Merced,"34,900","32,600","2,400",6.7%
Planada,"2,000","1,800",200,9.8%
South Dos Palos,"1,100",900,200,16.9%
Winton,"4,900","4,400",500,11.0%
Bret Harte,"2,000","1,800",300,12.6%
Bystrom,"1,700","1,500",100,8.0%
Ceres,"21,800","20,300","1,400",6.6%
Denair,"2,600","2,500",100,3.2%
East Oakdale,"1,600","1,500",100,4.4%
Empire,"1,700","1,600",100,7.6%
Hughson,"3,200","3,000",200,6.0%
Keyes,"2,600","2,400",200,7.9%
Modesto,"96,500","91,000","5,500",5.7%
Newman,"4,500","4,200",300,6.7%
Oakdale,"9,500","8,900",600,6.4%
Patterson,"10,200","9,600",600,5.7%
Riverbank,"12,000","11,400",500,4.4%
Salida,"7,200","6,900",300,4.4%
Turlock,"34,600","32,800","1,800",5.1%
Waterford,"3,600","3,200",400,10.3%
West Modesto,"2,100","1,800",300,14.4%
Alturas,"1,060","1,010",50,5.0%
Mammoth Lakes town,"5,970","5,920",50,0.9%
American Canyon,"10,600","10,200",400,3.9%
Angwin,"2,100","2,100",100,3.0%
Calistoga,"2,700","2,700",100,2.3%
Deer Park,400,400,0,3.8%
Napa,"42,800","41,600","1,200",2.7%
St. Helena,"3,000","2,900",100,2.7%
Yountville town,"1,200","1,200",0,1.9%
Alta Sierra,"3,680","3,650",30,0.8%
Grass Valley,"5,790","5,500",290,4.9%
Lake of the Pines,"2,180","2,100",80,3.8%
Lake Wildwood,"2,080","2,080",0,0.0%
Nevada,"1,440","1,420",20,1.4%
Penn Valley,770,670,90,12.1%
Truckee town,"10,730","10,470",260,2.4%
Camarillo,"33,000","32,000","1,000",3.2%
Casa Conejo,"1,700","1,600",100,5.3%
Channel Islands Beach,"1,500","1,400",100,9.2%
El Rio,"3,200","3,000",200,5.4%
Fillmore,"7,000","6,800",300,3.8%
Meiners Oaks,"1,800","1,700",0,2.0%
Mira Monte,"3,500","3,400",100,3.7%
Moorpark,"19,300","18,700",600,3.3%
Oak Park,"7,100","6,800",300,4.0%
Oak View,"2,200","2,100",100,3.4%
Ojai,"3,500","3,400",100,3.3%
Oxnard,"99,700","94,300","5,400",5.4%
Piru,800,800,0,3.5%
Port Hueneme,"10,300","10,000",300,3.4%
San Buenaventura (Ventura),"55,000","53,200","1,800",3.3%
Santa Paula,"13,400","12,700",700,5.1%
Simi Valley,"66,700","64,700","2,100",3.1%
Thousand Oaks,"64,100","62,200","1,900",3.0%
Auburn,"6,900","6,700",200,3.2%
Colfax,"1,100","1,000",100,5.9%
Dollar Point,600,600,0,1.8%
Foresthill,700,700,0,2.7%
Granite Bay,"10,800","10,500",300,3.2%
Kings Beach,"1,900","1,900",0,2.0%
Lincoln,"19,200","18,600",700,3.5%
Loomis town,"3,200","3,000",100,4.3%
Meadow Vista,"1,600","1,600",0,2.9%
North Auburn,"5,600","5,300",200,3.8%
