City,Median Age
Scotts Valley ,41.70
Running Springs ,41.70
Los Molinos ,41.70
June Lake ,41.70
Fruitdale ,41.70
Broadmoor ,41.70
Brisbane ,41.70
Manchester ,41.80
Fall River Mills ,41.80
Callender ,41.80
Altadena ,41.80
Saranap ,41.90
Palo Alto ,41.90
Lone Pine ,41.90
Alpine ,41.90
Capitola ,41.90
Temple City ,42.00
East Foothills ,42.00
West Carson ,42.10
Loomis ,42.10
Isleton ,42.10
East Quincy ,42.10
Valley Center ,42.10
Rio Oso ,42.20
North El Monte ,42.20
Mission Viejo ,42.20
Martinez ,42.20
Coto De Caza ,42.20
Aromas ,42.20
Humboldt Hill ,42.20
Orcutt ,42.30
Mount Hebron ,42.30
Brookdale ,42.30
Banning ,42.30
Harbison Canyon ,42.40
Elizabeth Lake ,42.40
Carmichael ,42.40
Cambrian Park ,42.40
Agoura Hills ,42.40
North Auburn ,42.50
Burney ,42.50
Sugarloaf Saw Mill ,42.50
Nicasio ,42.50
Woodbridge ,42.60
San Dimas ,42.60
Pinole ,42.60
Novato ,42.60
Knightsen ,42.60
Fountain Valley ,42.60
San Carlos ,42.60
Valley Springs ,42.70
Lucerne Valley ,42.70
Laguna Niguel ,42.80
Cherokee ,42.80
Carrick ,42.80
Franklin CDP ,42.80
Soulsbyville ,42.90
Saint Helena ,42.90
Monument Hills ,42.90
La Verne ,42.90
Big Bear City ,42.90
Benicia ,42.90
Dogtown ,42.90
Trowbridge ,43.00
Lake Arrowhead ,43.00
Casmalia ,43.00
Hasley Canyon ,43.00
Walnut ,43.10
Tahoma ,43.10
Sunnyside ,43.10
Shelter Cove ,43.10
Monterey Park ,43.10
Klamath ,43.10
Arcadia ,43.10
Soquel ,43.20
Penryn ,43.20
Moss Beach ,43.20
Half Moon Bay ,43.20
Grass Valley ,43.20
Buena Vista ,43.20
Thousand Palms ,43.30
Durham ,43.30
Crestline ,43.30
Collierville ,43.30
Herald ,43.40
Elmira ,43.40
Tuttle ,43.50
El Cerrito ,43.50
Clay ,43.50
Chinese Camp ,43.50
Amador City ,43.50
Wawona ,43.60
Rancho Calaveras ,43.60
Beverly Hills ,43.60
Solana Beach ,43.70
Seacliff ,43.80
Milford ,43.80
Litchfield ,43.90
Indianola ,43.90
Farmington ,43.90
Bonita ,43.90
Strawberry ,44.00
Newport Beach ,44.00
Felton ,44.00
China Lake Acres ,44.00
Cerritos ,44.00
Canyon Lake ,44.00
Tehama ,44.10
Camanche North Shore ,44.10
Bonsall ,44.10
Ben Lomond ,44.10
Hood ,44.10
Lompico ,44.20
Lakeport ,44.20
Corte Madera ,44.20
Wrightwood ,44.30
Camptonville ,44.30
Patton Village ,44.30
Weaverville ,44.40
Pacheco ,44.40
Jamul ,44.40
Santa Susana ,44.40
Shoshone ,44.50
Paxton ,44.50
North Lakeport ,44.50
Lockwood ,44.50
Kirkwood ,44.50
Grenada ,44.50
El Granada ,44.50
Danville ,44.50
Buck Meadows ,44.50
Tres Pinos ,44.50
Penn Valley ,44.50
Highlands-Baywood Park ,44.60
Shingle Springs ,44.60
Jamestown ,44.70
Old Fig Garden ,44.70
Pollock Pines ,44.80
Loma Mar ,44.80
Hartley ,44.80
Dana Point ,44.80
Crest ,44.80
Channel Islands Beach ,44.80
Anza ,44.80
Penngrove ,44.80
Millbrae ,44.80
Lexington Hills ,44.80
San Anselmo ,44.90
Chester ,44.90
Pajaro Dunes ,45.00
Moraga ,45.00
Los Gatos ,45.00
Janesville ,45.00
Garey ,45.00
Cartago ,45.00
Vandenberg Village ,45.00
Solvang ,45.00
Clayton ,45.00
Ross ,45.10
Lake Nacimiento ,45.10
Crowley Lake ,45.10
Corralitos ,45.10
Whitley Gardens ,45.10
Lafayette ,45.20
San Marino ,45.30
Rainbow ,45.30
Lookout ,45.30
Indian Falls ,45.30
Oak Glen ,45.40
Midpines ,45.40
Mckittrick ,45.40
Greenville ,45.40
Edna ,45.40
Boulder Creek ,45.40
Auburn ,45.40
Arroyo Grande ,45.40
Dollar Point ,45.40
Casa De Oro-Mount Helix ,45.40
Wilton ,45.50
Quincy ,45.50
Lake Riverside ,45.50
Cohasset ,45.50
Acton ,45.50
Tamalpais-Homestead Valley ,45.50
Rossmoor ,45.50
Bridgeport ,45.50
Westhaven-Moonstone ,45.60
Weott ,45.60
River Pines ,45.60
Pine Hills ,45.60
North Tustin ,45.60
La Quinta ,45.60
Chilcoot-Vinton ,45.60
Topaz ,45.70
Rutherford ,45.70
Mount Shasta ,45.70
Meridian ,45.70
Lake Of The Woods ,45.70
Garden Farms ,45.70
Foresthill ,45.70
Crockett ,45.70
Ballard ,45.70
San Andreas ,45.70
Sierra Brooks ,45.80
Hidden Hills ,45.80
Fair Oaks ,45.80
Paynes Creek ,45.80
Daphnedale Park ,45.80
Trinidad ,45.90
La Canada Flintridge ,45.90
Angels ,45.90
Graton ,45.90
Fairfax ,45.90
Ladera ,46.00
Jackson ,46.00
Granite Bay ,46.00
Emerald Lake Hills ,46.00
Belden ,46.00
Auberry ,46.00
Montara ,46.00
Topanga ,46.10
Sebastopol ,46.10
Keswick ,46.10
Big Bear Lake ,46.10
Piedmont ,46.20
Loyalton ,46.20
Los Altos ,46.20
Hydesville ,46.20
East Richmond Heights ,46.20
Del Rey Oaks ,46.20
Benbow ,46.20
Bella Vista ,46.20
Squaw Valley ,46.30
San Antonio Heights ,46.30
Butte Valley ,46.30
Acalanes Ridge ,46.30
Mountain Gate ,46.40
Georgetown ,46.40
Moss Landing ,46.50
Lower Lake ,46.50
Bell Canyon ,46.50
Silver Lakes ,46.50
La Selva Beach ,46.50
Sierra Madre ,46.60
Nice ,46.60
Mill Valley ,46.60
Centerville ,46.60
Big Pine ,46.60
Stallion Springs ,46.70
Myers Flat ,46.70
Hornbrook ,46.70
Cazadero ,46.70
Grizzly Flats ,46.80
Sunset Beach ,46.90
Kingvale ,46.90
Hayfork ,46.90
Copperopolis ,46.90
Bangor ,46.90
Aptos Hills-Larkin Valley ,46.90
Aptos ,46.90
Alta ,46.90
Lake Hughes ,46.90
Greenhorn ,46.90
Rio Del Mar ,47.00
Kentfield ,47.00
Green Valley ,47.00
Granite Hills ,47.00
Fieldbrook ,47.00
Dunsmuir ,47.00
Alderpoint ,47.00
Waterloo ,47.10
View Park-Windsor Hills ,47.10
Princeton ,47.10
Ojai ,47.10
Diamond Springs ,47.10
Chalfant ,47.10
Yosemite Lakes ,47.20
Sunny Slopes ,47.20
San Miguel ,47.20
Olancha ,47.20
Morongo Valley ,47.20
Los Osos ,47.20
Lake Isabella ,47.20
Catheys Valley ,47.20
California Pines ,47.20
Ferndale ,47.20
Rackerby ,47.30
Lucas Valley-Marinwood ,47.30
Happy Camp ,47.30
Comptche ,47.30
Adin ,47.30
Allendale ,47.30
Agua Dulce ,47.30
Millville ,47.40
Loma Rica ,47.40
Leona Valley ,47.40
East Nicolaus ,47.40
Bloomfield ,47.40
Nevada City ,47.50
Loyola ,47.50
Hillsborough ,47.50
Desert Center ,47.50
Bonny Doon ,47.50
Forestville ,47.50
La Honda ,47.60
Minkler ,47.60
La Habra Heights ,47.60
Bear Valley CDP ,47.60
Vallecito ,47.70
Santa Venetia ,47.70
